Reference code	Original Reference No	Location code	Title	Other title 1	Other title 2	Other title 3	Other title 4	Creator	Date (start) YYYY	start confirm	Date (end) YYYY	end confirm	Level of description	Extent	Medium	Language	Administrative history	Content	Condition governing access	Related unit(s) of description	Other notes	Internal only notes	Complete or not	Status review required	Date of collection	Source	Acquisition method	Material type	Record disclosure counter	Condition	Archivist's remarks	Archival history	Conservation related issues	Master reference code	Name & Subject	Important item(s)
SEK-6-014		D03/16	British Shanghai Gas Company - stock book	______					1947		1948			1	folder(s)	Eng		The Shanghai Gas Co., Ltd. was formed in 1865 to provide gas lighting to Shanghai. The Kadoories were a major stakeholder since the early 1900s and served on the board of directors. This file contains a list of the companies stock investments which include holdings of Asia Navigation, Wheelocks, Ltd., China Light and Power Co., Ltd., and Hongkong and Kowloon Wharves and Godown Co., Ltd. 	1				FALSE	FALSE												
SEK-6-015		D03/16	British Shanghai Gas Company - investments A	______					1948					1	folder(s)	Eng		The Shanghai Gas Co., Ltd. was formed in 1865 to provide gas lighting to Shanghai. The Kadoories were a major stakeholder since the early 1900s and served on the board of directors. This file contains documentation relating to investments made by the company including shares bought and sold, and prices of potential purchases. 	1				FALSE	FALSE												
SEK-6-016	G.3-A-8	D01/04	Green Island Cement	____					1980		1984			2	folder(s)	Eng		Green Island Cement, formed in 1887 in Hong Kong is a major cement producer and construction company. During its early years, the company focused on cement production and construction in Hong Kong, while later, they expanded their business overseas to the Philippines, Panama, and China.Wholly owned subsidiaries of the company include: Glass-crete, Ltd., Green Island, Inc. (Panama), and Thorogood Estates. Ltd. It is now a wholly owned subsidiary of Cheung Kong Infrastructure Holdings Limited. This file contains annual reports and documents relating to company accounts. 	2				FALSE	FALSE		SGB 24F			1984						Green Island Cement	
SEK-6-017	G.3-E-7	D01/04	Green Island Cement - minutes of meeting & managing director's report	____					1977		1979			1	folder(s)	Eng		Green Island Cement, formed in 1887 in Hong Kong is a major cement producer and construction company. During its early years, the company focused on cement production and construction in Hong Kong, while later, they expanded their business overseas to the Philippines, Panama, and China. Wholly owned subsidiaries of the company include: Glass-crete, Ltd., Green Island, Inc. (Panama), and Thorogood Estates. Ltd. It is now a wholly owned subsidiary of Cheung Kong Infrastructure Holdings Limited.  Li Ka-shing became the Chairman in the early 1980s. This file contains meeting minutes, directors reports and corresponcdence relating to Li Ka-shing's take-over as company chairman and a change in company strategy.	1				FALSE	FALSE		SGB 24F			1979						Green Island Cement	8,9
SEK-6-018	G.3-E-8	D01/04	Green Island Cement - minutes of meeting & managing director's report	____					1980		1982			1	folder(s)	Eng		Green Island Cement, formed in 1887 in Hong Kong is a major cement producer and construction company. During its early years, the company focused on cement production and construction in Hong Kong, while later, they expanded their business overseas to the Philippines, Panama, and China. Wholly owned subsidiaries of the company include: Glass-crete, Ltd., Green Island, Inc. (Panama), and Thorogood Estates. Ltd. It is now a wholly owned subsidiary of Cheung Kong Infrastructure Holdings Limited.  Li Ka-shing became the Chairman in the early 1980s. This file contains meeting minutes, directors reports and corresponcdence relating to Li Ka-shing's take-over as company chairman and a change in company strategy.	2				FALSE	FALSE		SGB 24F			1982						Green Island Cement	8,9
SEK-6-019	CH4	D03/16	The Hongkong and Kowloon Wharf and Godown	_____ (_)	The Wharf (Holdings) (now)				1938					1	folder(s)	Eng		The Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains general administrative files.	1				FALSE	FALSE		SGB 22F			1938						The Wharf (holdings)	
SEK-6-020	EH2	D03/16	The Hongkong and Kowloon Wharf and Godown	_____ (_)	The Wharf (Holdings) (now)				1940					1	folder(s)	Eng		The Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains Horace Kadoorie's administrative files.	1				FALSE	FALSE		SGB 22F			1940						The Wharf (holdings)	
SEK-6-021	FH5	D03/16	The Hongkong and Kowloon Wharf and Godown	_____ (_)	The Wharf (Holdings) (now)				1941					1	folder(s)	Eng		The Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains Lawrence Kadoorie's administrative files.	1				FALSE	FALSE		SGB 22F			1941						The Wharf (holdings)	
SEK-6-022	FH10	D03/16	The Hongkong and Kowloon Wharf and Godown - proposed reconstruction & increase of capital	_____ (_)	The Wharf (Holdings) (now)				1941					1	folder(s)	Eng		The Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains Lawrence Kadoorie's administrative files relating to proposed reconstruction and an increase in company capital. 	1				FALSE	FALSE		SGB 22F			1941						The Wharf (holdings)	
SEK-6-023	H.4-A-1	D01/14	The Hongkong and Kowloon Wharf and Godown 1	_____ (_)	The Wharf (Holdings) (now)				1945		1949			1	folder(s)	Eng		The Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains general administrative files including meeting minutes from meetings of the board of directors. 	1				FALSE	FALSE		SGB 24F			1949						The Wharf (holdings)	
SEK-6-024	H.4-A-2	D01/14	The Hongkong and Kowloon Wharf and Godown 2	_____ (_)	The Wharf (Holdings) (now)				1949		1953			1	folder(s)	Eng		The Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains general administrative files including meeting minutes from meetings of the board of directors, and other files relating to the management of the company. 	1				FALSE	FALSE		SGB 24F			1953						The Wharf (holdings)	
SEK-6-025	H.4-A-3	D01/15	The Hongkong and Kowloon Wharf and Godown 3	_____ (_)	The Wharf (Holdings) (now)				1953		1956			1	folder(s)	Eng		The Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains general administrative files including meeting minutes from meetings of the board of directors, and other files relating to the management of the company. 	1				FALSE	FALSE		SGB 24F			1956						The Wharf (holdings)	
SEK-6-026	H.4-A-4	D01/15	The Hongkong and Kowloon Wharf and Godown 4	_____ (_)	The Wharf (Holdings) (now)				1957		1961			1	folder(s)	Eng		The Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains general administrative files including meeting minutes from meetings of the board of directors, and other files relating to the management of the company such as a proposal regarding the construction of Ocean Terminal.	1				FALSE	FALSE		SGB 24F			1961						The Wharf (holdings)	13
SEK-6-027	H.4-A-5	D01/15	The Hongkong and Kowloon Wharf and Godown 5	_____ (_)	The Wharf (Holdings) (now)				1962		1966			2	folder(s)	Eng		The Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains general administrative files including meeting minutes from meetings of the board of directors, and other files relating to the management of the company such as a report relating to the construction of Ocean Terminal.	1				FALSE	FALSE		SGB 24F			1966						The Wharf (holdings)	
SEK-6-028	H.4-A-6	D01/16	The Hongkong and Kowloon Wharf and Godown 6	_____ (_)	The Wharf (Holdings) (now)				1967		1968			2	folder(s)	Eng		The Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains general administrative files including meeting minutes, director's statements, and annual reports produced by the board of directors, and other files relating to the management of the company such as plans realting to Ocean Terminal drawn by S.E. Faber & Son, a new container terminal and documents relating to the 1967 riots. 	1				FALSE	FALSE		SGB 24F			1968						The Wharf (holdings)	14,15
SEK-6-029	H.4-A-7	D01/16	The Hongkong and Kowloon Wharf and Godown 7	_____ (_)	The Wharf (Holdings) (now)				1969					1	folder(s)	Eng		The Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains general administrative files including minutes of meetings of the board of directors and administrative files regarding a new container terminal.	1				FALSE	FALSE		SGB 24F			1969						The Wharf (holdings)	
SEK-6-030	H.4-A-8	D01/16-D01/17	The Hongkong and Kowloon Wharf and Godown 8	_____ (_)	The Wharf (Holdings) (now)				1970		1976			2	folder(s)	Eng		The Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains general administrative files including minutes of meetings of the board of directors and administrative files regarding the takeover  of Star Ferry and Hongkong Tramways	1				FALSE	FALSE		SGB 24F			1976						The Wharf (holdings)	
SEK-6-031	H.4-A-9	D01/17	The Hongkong and Kowloon Wharf and Godown 9	_____ (_)	The Wharf (Holdings) (now)				1977		1979			2	folder(s)	Eng		The Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains general administrative files including minutes of meetings of the board of directors and executive committee and a proposal regarding a Light Railway.	1				FALSE	FALSE		SGB 24F			1979						The Wharf (holdings)	16, 17
SEK-6-032	H.4-A-10	D01/18	The Hongkong and Kowloon Wharf and Godown 10	_____ (_)	The Wharf (Holdings) (now)				1979		1981			2	folder(s)	Eng		The Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains general administrative files including minutes of meetings of the board of directors and executive committee as well as a takover of the company by Y.K. Pao.	2				FALSE	FALSE		SGB 24F			1981						The Wharf (holdings)	
SEK-6-033	H.4-A-11	D01/18	The Hongkong and Kowloon Wharf and Godown 11	_____ (_)	The Wharf (Holdings) (now)				1981		1983			2	folder(s)	Eng, Chi		minutes of meeting of board of directoThe Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains general administrative files including minutes of meetings of the board of directors.	2				FALSE	FALSE		SGB 24F			1983						The Wharf (holdings)	
SEK-6-034	H.4-A-12	D01/19	The Hongkong and Kowloon Wharf and Godown 12	_____ (_)	The Wharf (Holdings) (now)				1984		1986			2	folder(s)	Eng, Chi		The Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains general administrative files including minutes of meetings of the board of directors and a takeover by Allied Investors.	2				FALSE	FALSE		SGB 24F			1986						The Wharf (holdings)	
SEK-6-035	H.4-A-13	D01/19	The Wharf (Holdings) 1	_____					1986		1988			2	folder(s)	Eng, Chi		The Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains general administrative files including minutes of meetings of the board of directors.	2				FALSE	FALSE		SGB 24F			1988						The Wharf (holdings)	
SEK-6-036	H.4-B-1	D01/20	The Hongkong and Kowloon Wharf and Godown - new issue of shares	_____ (_)	The Wharf (Holdings) (now)				1947					1	folder(s)	Eng		The Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains documentation relating to a new issue of shares in 1947.	1				FALSE	FALSE		SGB 24F			1947						The Wharf (holdings)	
SEK-6-037	H.4-C-1	D01/20	The Hongkong and Kowloon Wharf and Godown - Amalgamation with China Provident Co.	_____ (_)	The Wharf (Holdings) (now)				1951					1	folder(s)	Eng		The Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains documentation relating to the almagamation with China Provident Co., Ltd. in 1951. 	1				FALSE	FALSE		SGB 24F			1951						The Wharf (holdings)	
SEK-6-038	H.4-D-1	D01/20	The Hongkong and Kowloon Wharf and Godown - Ocean Terminal	_____ (_)	The Wharf (Holdings) (now)				1962		1965			2	folder(s)	Eng		The Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains documentation relating to the development of Ocean Terminal including plans drawn by S.E. Faber Civil Engineers with Jon A. Prescott, architect. 	1				FALSE	FALSE		SGB 24F			1965						The Wharf (holdings)	
SEK-6-039	H.4-E-1	D01/20	The Hongkong and Kowloon Wharf and Godown - K.M.L. 91	_____ (_)	The Wharf (Holdings) (now)				1962		1965			2	folder(s)	Eng		The Hongkong & Kowloon Wharf & Godown Co., Ltd. was formed in 1875 by Hong Kong business leaders including Paul Chater who saw the advantages of a public wharf in Kowloon. The company designed and operated public wharves in Hong Kong and continued to expand as the region grew as a shipping hub throughout the 1960s. This file contains documentation relating to the development of K.M.L. 91, leases for Ocean Terminal, and site plans drawn by Eric Cumine. 	1				FALSE	FALSE		SGB 24F			1965						The Wharf (holdings)	
SEK-6-040	H.6-A-7	D01/21	Hong Kong & Whampoa Dock - general	____(_)					1964		1977			1	folder(s)	Eng		Founded in 1863 by Douglas Lapraik and Thomas Sutherland of Jardine Matheson & Co., Hong Kong & Whampoa Dock Co., Ltd. is one of the oldest, largest ship building, ship repairing, and engineering companies in the Far East. It holds number 004 in the Companies Registry of Hong Kong. The company is now a subsidiary of Hutchison Whampoa, Ltd. This files contains general administrative documentation. 	1				FALSE	FALSE		SGB 24F			1977						Hutchison Whampoa	
SEK-6-041	CH7	D03/16	Hong Kong & Whampoa Dock	____(_)					1937		1938			1	folder(s)	Eng		Founded in 1863 by Douglas Lapraik and Thomas Sutherland of Jardine Matheson & Co., Hong Kong & Whampoa Dock Co., Ltd. is one of the oldest, largest ship building, ship repairing, and engineering companies in the Far East. It holds number 004 in the Companies Registry of Hong Kong. The company is now a subsidiary of Hutchison Whampoa, Ltd. This file contains general administrative documentation collected by Horace Kadoorie in his capacity as a director of the company. 	1				FALSE	FALSE		SGB 22F									Hutchison Whampoa	
SEK-6-042	FH4	D03/16	Hong Kong & Whampoa Dock	____(_)					1941					1	folder(s)	Eng		Founded in 1863 by Douglas Lapraik and Thomas Sutherland of Jardine Matheson & Co., Hong Kong & Whampoa Dock Co., Ltd. is one of the oldest, largest ship building, ship repairing, and engineering companies in the Far East. It holds number 004 in the Companies Registry of Hong Kong. The company is now a subsidiary of Hutchison Whampoa, Ltd. This file contains general administrative documentation collected by Horace Kadoorie in his capacity as a director of the company. Of note is the agreemenb between the company and China Light and Power Co., Ltd. to be the electricity supplier, and the "Century of Hong Kong" commemorative poster. 	1				FALSE	FALSE		SGB 22F									Hutchison Whampoa	
SEK-6-043	FD1	D03/16	Hong Kong & Whampoa Dock - directorships	____(_)					1941					1	folder(s)	Eng		Founded in 1863 by Douglas Lapraik and Thomas Sutherland of Jardine Matheson & Co., Hong Kong & Whampoa Dock Co., Ltd. is one of the oldest, largest ship building, ship repairing, and engineering companies in the Far East. It holds number 004 in the Companies Registry of Hong Kong. The company is now a subsidiary of Hutchison Whampoa, Ltd. This file contains general administrative documentation collected by Horace Kadoorie in his capacity as a director of the company. 	1				FALSE	FALSE		SGB 22F			1941							
SEK-6-044	H.7-A-2	D01/21	Hong Kong Realty & Trust						1945		1965			1	folder(s)	Eng		This file contains correspondence between Horace Kadoorie and other members of the Hong Kong Rope Manufacturing Co., Ltd. management regarding the company's difficult position in the poast-war period. By the 1960s, the company no longer operated as a rope manfacturing company and changed its name to Hong Kong Realty & Trust which became a property holding company.  The file contains meeting minutes, board statements, and correspondence. 	1				FALSE	FALSE		SGB 24F			1965						HK Realty & Trust	31
SEK-6-045	H.9-A-1	D01/13	Humphreys Estate and Finance Company 1						1949		1968			1	folder(s)	Eng		Humphreys Estate & Finance Co., Ltd. was a commercial property owner and manager in Hong Kong. The company owned properties including: Cornwall Lodge (KIL 3732), Valverde, Branksome Towers at Clovelly Court, and properties at 54/64 Nathan Road, Kowloon. The file contains minutes from director's meetings, correspondence between Horace Kadoorie and other directors of the company, managers reports and directors reports. 	1				FALSE	FALSE		SGB 24F			1968						Humphreys Estate and Finance Company	
SEK-6-046	H.9-A-3	D01/13	Humphreys Estate and Finance Company 2						1967		1971			1	folder(s)	Eng		Humphreys Estate & Finance Co., Ltd. is a commercial property owner and manager in Hong Kong. In  1970, D.C. Cottom served as manager during a possible merger with the Hong Kong Engineering  & Construction Co., Ltd. Though the company did not merge with HKECC, Hongkong Land Investment Agency & Co., Ltd. aquired Humphreys as a wholly-owned subsidiary in 1971. The company owned properties including: Cornwall Lodge (KIL 3732), Valverde, Branksome Towers at Clovelly Court, and properties at 54/64 Nathan Road, Kowloon. The file contains minutes from director's meetings, correspondence between Horace Kadoorie and other directors of the company, managers reports and directors reports. 	1				FALSE	FALSE		SGB 22F			1971						Humphreys Estate and Finance Company	
SEK-6-047	H.31-A-1	D03/17	Hutchison International Limited  /  Hong Kong & Whampoa Dock Company	________					1976		1977			1	folder(s)	Eng&Chi		Hutchison International, Ltd. is a conglomate encompassing a range of companies in a variety of industries. Hutchison International, Ltd.'s four areas of investment include: property, trading, quarrying and construction, and container, warehouse and transport. Companies of note which fall under the Hutchison International, Ltd. umbrella include: Hong Kong & Whampoa Dock Co., the John D Hutchison Ltd. Group, A.S. Watson Co., and Anderson Asia. This file contains minutes from meetings of the board, resoulutions of directors, and executive correspondence collected by Horace Kadoorie in his capacity as a director of the company. 	1				FALSE	FALSE												
SEK-6-048	H.32-B-1	D01/05	Hutchison Whampoa - board agendas & minutes of meetings 1	____					1978		1979			2	folder(s)	Eng		Hutchison International, Ltd. is a conglomate encompassing a range of companies in a variety of industries. Hutchison International, Ltd.'s four areas of investment include: property, trading, quarrying and construction, and container, warehouse and transport. Companies of note which fall under the Hutchison International, Ltd. umbrella include: Hong Kong & Whampoa Dock Co., the John D Hutchison Ltd. Group, A.S. Watson Co., and Anderson Asia. This file contains minutes from meetings of the board, resoulutions of directors, and executive correspondence collected by Horace Kadoorie in his capacity as a director of the company. 	1				FALSE	FALSE		SGB 24F			1979						Hutchison Whampoa	
SEK-6-049	H.32-B-2	D01/05	Hutchison Whampoa - board agendas & minutes of meetings 2	____					1979					2	folder(s)	Eng		Hutchison International, Ltd. is a conglomate encompassing a range of companies in a variety of industries. Hutchison International, Ltd.'s four areas of investment include: property, trading, quarrying and construction, and container, warehouse and transport. Companies of note which fall under the Hutchison International, Ltd. umbrella include: Hong Kong & Whampoa Dock Co., the John D Hutchison Ltd. Group, A.S. Watson Co., and Anderson Asia. This file contains minutes from meetings of the board, resoulutions of directors, and executive correspondence collected by Horace Kadoorie in his capacity as a director of the company. 	1				FALSE	FALSE		SGB 24F			1979						Hutchison Whampoa	
